publication_number,title,abstract,sub_classes,sub_class,topics,prob,query_publication_numbers,query_class_codes,query_abstract,query_predicted_topics,query_codes_G16H,exact_match_code,count_exact_match_top50,RFR
US2004153341A1,System for analyzing and processing orders related to healthcare treatment or services,"A system analyzes data including healthcare orders initiating treatment or services used in patient healthcare. The system includes a data processor and a message processor. The data processor identifies a potential change in use of a particular treatment by examining data, representing multiple orders generated over a particular time period, used in treating multiple patients to identify a number of orders initiating application of a particular treatment to individual patients of the multiple patients to address a particular medical condition. The data processor also determines whether the number of orders exceeds a predetermined threshold and/or whether a rate of change in the number of orders relative to a previously determined number of orders is significant. The message processor initiates generation of a message to alert a message recipient of an identified potential change in use of the particular treatment.","['G16Z99/00', 'G16H70/20']","['G16Z', 'G16H']",12,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[12],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2008229281A1,Method for data exchange between medical apparatuses,"In a method, a device and a system as well as a modality and a computer program product for integration of a data object into a medical data set, the data object and the medical data set are associated with a patient examination. The medical data set is formatted according to a DICOM standard. The data object is formatted according to a standard other than the DICOM standard. The data object is integrated into the medical data set via at least one shadow group object and a running and/or planned process in connection with the patient examination can be controlled dependent on the integrated data object.","['G06F40/00', 'G16H40/67']","['G06F', 'G16H']",12,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[12],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2008249376A1,Distributed Patient Monitoring System,A distributed patient monitoring system for visually monitoring patients and patient parameters using portable processing devices in different remote locations includes a monitoring processor. The monitoring processor is responsive to user initiated commands from multiple different portable processing devices in different remote locations and includes an input processor and a data processor. The input processor acquires vital sign parameters and associated video data representative of multiple sequences of video images of corresponding multiple different patients. The data processor processes the vital sign parameters and associated video data to provide processed first video data representing an image sequence including a composite image including a first area showing live video of a selected first patient and a second area presenting vital sign parameters of the selected first patient. The data processor also processes the vital sign parameters and associated video data to provide processed second video data representing an image sequence including a composite image including a first area showing live video of a selected second patient and a second area presenting vital sign parameters of the selected second patient. A communication network has bandwidth sufficient to communicate the processed first video data and second video data to first and second portable,"['G16H30/20', 'A61B5/7232']","['G16H', 'A61B']",12,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[12],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2008312953A1,Database design for collection of medical instrument parameters,"A method and system for maintaining medical items is provided. The system includes a medical database structure, a medical database utility configured to maintain medical database contents by organizing medical information into levels, and a user interface component configured to enable a user to access the medical database utility. The medical database utility provides a user with an ability to access the user&#39;s collections of settings in the medical database, the user&#39;s collection of settings maintained separately from settings accessible by other users. The method stores medical data items in a database configured with multiple levels of organization, establishes a logical relationship between medical data items at each level of organization, presents a user with available medical system choices at each level of organization, and enables the user to select from among the available medical system choices presented at each level of organization.","['G16H70/20', 'G16Z99/00']","['G16H', 'G16Z']",12,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[12],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2004133604A1,Patient interface device or component selecting system and method,"A patient interface device selection system that includes a database storing a plurality of sets of data. Each set of data in the plurality of sets of data is associated with a unique patient interface device or a component thereof. A patient data collection system, such as a measuring device, acquires a set of patient data that correspond to at least one characteristic of a patient. A processing system compares the acquired patient data with the plurality of sets of data, and determines the patient interface device or the component thereof that is suitable for use by such a patient based on a result of the comparison.","['G06F17/00', 'G16H10/60']","['G06F', 'G16H']",12,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[12],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",G16H10/60,16,3.0
US2009020123A1,Process and system for transmitting monitoring states,A process and system are provided for transmitting monitoring states between respirators. The process includes the detection of and recording of monitoring states of a monitoring unit ( 5 ) of at least a first monitoring period ( 10 ) of a first respirator ( 2 ). There is an assignment of an identification to the monitoring states of the monitoring unit ( 5 ) of the at least first monitoring period ( 10 ) of the first respirator ( 2 ). There is a transmission of the monitoring states of the monitoring unit ( 5 ) of the at least first monitoring period ( 10 ) of the first respirator ( 2 ) to a second respirator ( 3 ). This is followed by a setting of the monitoring unit ( 5 ) of the second respirator ( 3 ) corresponding to the transmitted monitoring states of the monitoring unit ( 5 ) of the at least first monitoring period ( 10 ) of the first respirator ( 2 ). This is then followed by a repetition of steps for the monitoring states of the monitoring unit ( 5 ) of each additional monitoring period ( 10 ) of,"['G06F19/00', 'G16H50/20']","['G06F', 'G16H']",12,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[12],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2020203011A1,Virtual consultation method and electronic device,A virtual consultation method and an electronic device are provided. The method includes: receiving physiological information obtained through sensing a user by a sensing device; analyzing the physiological information to obtain an analysis result; adjusting weights of a plurality of questions according to the analysis result and determining a first question applicable to the user and an order of the first question according to the weights; and outputting the first question according to the order to simulate a question asked by a doctor for the user during consultation.,"['G16H10/20', 'G16H50/30']","['G16H', 'G16H']",32,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[32],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2008030317A1,"Method of Improving Medical Apparatus in Order to Replace Ancillary Medical Assistance by Employing Audible Verbal Human Sounding Voices to Prompt Therapeutic Usage and Provide Guidance, Measurements, Encouragement and Response, As Needed, to the Patient, By Using Electronic Technology","This method comprises of a method of eliminating ancillary medical assistance by the utilization of audible, verbal simulated human sounding voices produced by electronic technology which allows the ability to supply audible, verbal instructional help, prompting, measurements and also respond to the actions the patient is taking, through a human sounding voice providing the therapeutic requirements of the medical apparatus itself. With the employment of this unique method of self instructing, electronically functioning medical apparatus, the present invention will provide assistance to both the patient and the doctor by supplying non-human assistance, and will allow the therapeutic procedures contained within the electronic hardware of the present invention to be attached to, or built within, or combined to accommodate usage of each medical apparatus, thus, eliminating the need for ancillary medical assistance.","['G08B3/00', 'G16H40/63']","['G08B', 'G16H']",32,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[32],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2022246254A1,Method for sample test counting,"Methods and systems are disclosed for generating accurate reportable test result counts for client billing purposes. In one approach, a method includes receiving, via network, a plurality of test results from at least one sample analyzer of each of a plurality of customers, selecting test results from the plurality of test results based on a plurality of determination rules adaptable to each of the customers, and determining, for each of the customers, a number of the selected test results for billings to each of the customers. Systems capable of performing the above method and other methods are likewise disclosed.","['G16H15/00', 'G16H15/00']","['G16H', 'G16H']",32,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[32],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00","G16H15/00,G16H15/00",16,3.0
US2022180991A1,Systems and methods for creating personalized medicines for treating heart failure and heart disease,Systems and methods for creating personalized medicines for treating heart failure and heart disease that can capture non-invasive intracardiac pressure signals of the user through a micro-electro-mechanical sensor configured to a computing device. Bio-sample user data can also be captured through a bio-sample module. Other components can capture demographic data pertaining to the user. The user&#39;s Patient Health Record (PHR) data is captured through a PHR module. The system uses the processed data to create one or more personalized medicines for heart failure and heart disease through a machine learning module which can then be presented on a computing device user interface.,"['G16H20/10', 'G06N3/045']","['G16H', 'G06N']",32,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[32],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2011029326A1,Interactive healthcare media devices and systems,"Interactive healthcare media devices and systems are disclosed herein. An example method for use with a healthcare information system includes synchronizing a physician record library with a repository to include findings of an analysis performed by a reviewing practitioner, wherein the physician has access to the record library via a first portable device capable of outputting a multimedia presentation of the findings, wherein the first portable device is to enable the physician to modify the findings to generate a report; in response to receiving the report, synchronizing a patient record library with the repository to include the report, wherein the patient has access to the patient record library via a second portable device capable of outputting a multimedia presentation of the report, wherein the second portable device is to enable the patient to generate a response regarding the report; and in response to receiving the response from the second portable device, conveying the response to the physician record library","['G16H10/60', 'G06Q10/06']","['G16H', 'G06Q']",32,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[32],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",G16H10/60,16,3.0
US2011004277A1,System and Method for Managing Locally-Initiated Medical Device Interrogation,A system and method for managing locally-initiated medical device interrogation is presented. An interface is provided over which to retrieve patient data recorded and transiently staged by a medical device monitoring physiological measures of a patient. The patient data is periodically retrieved by interfacing to and interrogating the medical device per a pre-defined schedule through the interface. Further retrieval of the patient data is permitted independent of the pre-defined schedule. The system stores remotely-specifiable criteria specified by a caregiver and controls patient-initiated patient data retrieval in accordance with the criteria.,"['G16H40/67', 'G16H40/67']","['G16H', 'G16H']",32,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[32],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2010185063A1,System and Method for Providing Voice Feedback for Automated Remote Patient Care,"A system for providing feedback to an individual patient for automated remote patient care is presented. A medical device having a sensor for monitoring physiological measures of an individual patient regularly records a set of measures. A database collects the collected measures set, the identified collected device measures set, and the quality of life measures set into a patient care record for the individual patient. A server periodically receives the identified collected device measures set and the quality of life measures set from the medical device, and analyzes the identified collected device measures set, the quality of life measures set, and the collected device measures sets in the patient care record relative to other collected device measures sets stored in the database to determine a patient status indicator. The server further sends automated feedback to the patient based at least in part on the patient status indicator, wherein the automated feedback includes an interpretation of the patient status indicator and related health care information.","['G06F19/00', 'G16H40/67']","['G06F', 'G16H']",32,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[32],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2010076789A1,Method for remote consultation via mobile communication apparatus and system thereof,"A system for remote consultation via a remote mobile communication apparatus has a medical equipment device, a medical server and a remote mobile communication apparatus. A method for remote consultation employs the medical equipment device to produce the first medical report and store it into the medical server, transmits the first medical report with the medical server to the remote mobile communication apparatus via a wireless communication network, browses the first medical report, increases, modifies or varies the medical image or medical text of the first medical report to form the second medical report, and uses the mobile communication apparatus to send the second medical report back to the medical server via the wireless communication network. The remote consultation can be reached.","['G16H30/20', 'A61B8/00']","['G16H', 'A61B']",32,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[32],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2009287503A1,Analysis of individual and group healthcare data in order to provide real time healthcare recommendations,"A method for managing data. A datum regarding a first patient is received. A first set of relationships is established. The first set of relationships comprises at least one relationship of the datum to at least one additional datum existing in at least one database. A plurality of cohorts to which the first patient belongs is established based on the first set of relationships. Ones of the plurality of cohorts contain corresponding first data regarding the first patient and corresponding second data regarding a corresponding set of additional information. The corresponding set of additional information is related to the corresponding first data. The plurality of cohorts is clustered according to at least one parameter, wherein a cluster of cohorts is formed. A determination is made of which of at least two cohorts in the cluster are closest to each other. The at least two cohorts can be stored.","['G06F19/00', 'G16H10/20']","['G06F', 'G16H']",32,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[32],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2014222465A1,Bedside patient interaction system and method,"A method, apparatus, and system of bedside patient interaction through a secure, regulation compliant interaction device. A bedside interaction method includes determining an identity of a patient constrained to a bed through an interaction device using a processor and a memory, accessing an electronic medical record of the patient constrained to the bed, monitoring a behavior of the patient interacting with the interaction device, and automatically updating the electronic medical record based on the monitoring. Privacy may be maintained through the interaction device when the interaction device is enabled to work. An encrypted access methodology may be provided to the interaction device that may be tied to when the patient is physically at the bed to ensure regulatory compliance. A multi-tier access methodology may be provided through the interaction device each time the patient interacts with it to comply with regulatory requirements.","['G06F19/00', 'G16H10/60']","['G06F', 'G16H']",32,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[32],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",G16H10/60,16,3.0
US2020105404A1,Systems and methods for device inventory management and tracking,"An inventory management system includes a wearable cardiac device comprising an associated plurality of separate wearable cardiac device components stored as inventory at a first inventory location; a plurality of communication interface circuits associated with a corresponding one of the plurality of separate wearable cardiac device components and configured to facilitate transmission of inventory information through a network; at least one server device disposed at a central location and comprising a processor; and a memory comprising instructions that cause the processor to receive the inventory information from the plurality of communication interface circuits; receive a prescription for a patient; retrieve one or more prescription parameters based on the prescription; locate, in the inventory information, the wearable cardiac device based on the prescription parameters; determine a deployment status of the wearable cardiac device; and select the wearable cardiac device for the patient.","['G06Q10/08', 'G16H40/20']","['G06Q', 'G16H']",26,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[26],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2012290638A1,Physician regional access networking agent,"A medical communication system provides efficient messaging and communications services with physicians. The medical communication system permits physicians to define contact preferences so that they may receive messages in an efficient way based on various criteria, such as urgency, type, and time of a message. The medical communication system provides status for each of its physicians so that requestors that wish to contact the physicians can immediately know if a physician is available and the best way to reach the physician at a particular time and for a particular circumstance. The medical communication system protects to the privacy of physician&#39;s personal contact information and provides tracking of communications for the purpose of patient records. In addition, the medical communication system may be configured to meet various regulatory requirements, including HIPAA regulations.","['G06F15/16', 'G16H40/67']","['G06F', 'G16H']",26,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[26],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2008058615A1,Home care logistics and quality assurance system,"A mobile home care logistics and quality assurance system to enhance the efficiency, accuracy, accountability, and overall level of care for nurses visiting patients in their home. The system has a patient home health communication interface to establish a communication between a patient and a central server to receive instructions from and to transmit collected data/information to a remote server. The remote server generates various reports including a home visit prioritization report and a routing report based on the collected and stored data. The information and reports are used for billing, performance reviews, and patient data for assessment of each homecare nurse&#39;s in-field assignments.","['A61B5/02', 'G16H15/00']","['A61B', 'G16H']",26,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[26],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",G16H15/00,16,3.0
US2020258625A1,Server-neutral network architecture,"Computer-implemented server-neutral communications architecture and method of analyzing, authenticating and transmitting medical data independent of a server are provided. Exemplary server-neutral communications architecture includes a communication device including a housing and a transceiver circuit, a processor, and a battery disposed within the housing, one or more medical instruments, and a data analytics system. The medical instruments collect data from a medical patient and transmit the data relating to the medical patient directly to the communication device. The data analytics system determines which data come from a particular medical instrument. Advantageously, the medical instruments communicate directly with the communication device independent of transmitting the data through a server. The communication device communicates information about a patient&#39;s medical condition directly to a mobile device or a workstation. Disclosed systems and methods may develop a patient proxy based upon the medical data and communicate the patient proxy directly to a mobile device or a workstation in real time","['G16H10/60', 'G16H50/20']","['G16H', 'G16H']",26,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[26],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",G16H10/60,16,3.0
US2007233199A1,Communicating Medical Event Information,"In general, the invention provides techniques for wireless communication of medical event information between medical devices that treat a particular patient. In general, medical event information describes the condition and treatment of a patient. A medical device may detect another medical device via a wireless communications medium, and establish a local wireless communication session the other device in order to receive medical event information stored by the other device for a patient. The wireless communications medium may be a radio frequency communications medium, and the medical devices may establish a local wireless communication session according to any of a number of local wireless data communication standards. The medical event information received from the other medical device may be used to select a therapy, or to generate a report or patient chart detailing the condition and treatment of the patient.","['G16H20/40', 'G16H20/40']","['G16H', 'G16H']",26,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[26],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
US2013238347A1,Systems and Methods for Secure (HIPAA Compliant) Communication of Healthcare and Private Information,"Systems and methods for allowing communications basics, such as personal email and various application accounts, as well as assisted use of the technologies and a method for safely, and with HIPAA compliance, sharing such communications. Access templates are created, assigned, and registered for each of the participants in the system acting as information sources, information receivers, or both. The systems and methods allow the elderly, disabled, or ill individuals to have access to their family and friends through phone contact, mail contact, email, video mail, and video chat, as well as other communication methods. The sharing of information through current and future communications technologies is made possible without the individual needing to possess the technology or know how to use it specifically. Families are able to share their lives and events in a much more personally connected way and the elderly, disabled, or ill patient can do the same.","['G16H40/67', 'G06Q10/107']","['G16H', 'G06Q']",26,1.0,US20230259481A1,"G06F13/14,G16H70/60,G06F13/102,G,G06F13/10,G06F13/38,G06F,G06F13/40,G16H70/00,G06F13/4068,G06F13/4063,G16H10/60,G16H15/00,G16H,G06F13/20,G06F13/42,G16,G06F13/00,G16H10/00,G06F13/4282,G06","A host-client data sharing system manages diabetes care data. A host database, preferably web or internet based, is implemented for storing diabetes care data relating to multiple diabetics. A client or local database stores the diabetes care data relating to multiple diabetics on a personal appliance such as a PC, or a portable or handheld microprocessor-based computing device. The host database uses multiple servers for handling client interactions with the system.",[26],"G16H70/60,G16H70/00,G16H10/60,G16H15/00,G16H,G16H10/00",,16,3.0
